symbol,timeframe,vol_mult,entry_ratio,atr_sl_mult,retest_max,use_absorption_filter,n_long,n_short,n_signals,return_pct,win_rate,profit_factor,total_trades
BTC,1h,1.5,0.0,0.5,48,True,17,16,33,-21.51224774241,42.622950819672134,0.7666685790525282,61
BTC,2h,1.5,0.0,0.5,48,True,24,26,50,56.87124649368795,41.11111111111111,1.0977982596794686,90
BTC,4h,1.5,0.0,0.5,48,True,8,8,16,118.77399592671989,51.61290322580645,1.5032800773734536,31
ETH,1h,1.5,0.0,0.5,48,True,29,34,63,-2.463528299709899,43.90243902439025,0.803516676816441,123
ETH,2h,1.5,0.0,0.5,48,True,23,22,45,-2.7085509196248383,37.93103448275862,0.891851193263879,87
ETH,4h,1.5,0.0,0.5,48,True,12,14,26,-18.96836623022999,21.764520202020204,0.2810902759588135,48
BTC,1h,1.5,0.0,0.5,48,False,73,76,149,-207.9837739847612,33.168171114599694,0.34790650789894784,156
BTC,2h,1.5,0.0,0.5,48,False,78,81,159,-207.74425065435008,29.335595217730138,0.6548096100271301,142
BTC,4h,1.5,0.0,0.5,48,False,34,42,76,-216.29893314475657,37.33364878452712,0.37003227669876415,53
ETH,1h,1.5,0.0,0.5,48,False,84,79,163,-5.651472085974801,40.4040404040404,0.785580276679014,297
ETH,2h,1.5,0.0,0.5,48,False,65,80,145,-9.510080830354617,40.6015037593985,0.8127667663165263,266
ETH,4h,1.5,0.0,0.5,48,False,32,40,72,-2.1652329316397783,40.416666666666664,0.9359590684764783,135
